date,vehicle,weight
2017-02-10,,2.46
2017-02-10,13,0.95
2017-02-10,13,4.52
2017-02-10,,2.9
2017-02-13,15,7.6
2017-02-13,13,9.56
2017-02-13,14,10.36
2017-02-13,14,1.34
2017-02-14,,2.68
2017-02-14,,7.94
2017-02-14,14,3.9
2017-02-14,14,7.94
2017-02-14,13,8.55
2017-02-15,13,1.1
2017-02-15,14,6.3
2017-02-15,15,6.36
2017-02-15,13,7.648
2017-02-15,15,8.66
2017-02-16,14,1.66
2017-02-16,13,7.62
2017-02-16,13,3.55
2017-02-16,,8.14
2017-02-16,14,8.96
2017-02-17,13,4.86
2017-02-17,15,7.28
2017-02-17,14,9.22
2017-02-17,13,4.76
2017-02-20,15,8.38
2017-02-20,14,6.72
2017-02-20,13,9.86
2017-02-20,14,8.42
2017-02-20,13,8.96
2017-02-21,14,8.22
2017-02-21,15,9.44
2017-02-21,15,5.28
2017-02-21,14,3.4
2017-02-21,13,8.52
2017-02-21,13,6.7
2017-02-22,15,7.06
2017-02-22,14,7.02
2017-02-22,13,8.04
2017-02-23,14,3.88
2017-02-23,15,8.06
2017-02-23,14,8.96
2017-02-23,13,8.32
2017-02-24,14,1.86
2017-02-24,15,4.92
2017-02-24,15,9.58
2017-02-24,14,9.54
2017-02-24,13,8.06
2017-02-27,15,7.54
2017-02-27,14,10.48
2017-02-27,13,9.9
2017-02-27,15,6.89
2017-02-28,15,3.08
2017-02-28,15,8.6
2017-02-28,13,7.12
2017-02-28,14,6.1
2017-02-28,14,7.68
2017-03-01,13,5.28
2017-03-01,14,7.1
2017-03-01,15,9.18
2017-03-01,15,5.44
2017-03-01,13,4.16
2017-03-02,13,3.1
2017-03-02,14,2.72
2017-03-02,15,6.68
2017-03-02,13,8.56
2017-03-02,14,8.86
2017-03-03,14,7.02
2017-03-03,13,4.56
2017-03-03,15,8.82
2017-03-03,13,5.52
2017-03-06,14,4.64
2017-03-06,15,8.04
2017-03-06,13,5.75
2017-03-06,,6.82
2017-03-06,14,8.76
2017-03-06,13,9
2017-03-07,14,4
2017-03-07,,4.52
2017-03-07,13,5.85
2017-03-07,14,8.3
2017-03-07,15,8.08
2017-03-07,13,9.1
2017-03-08,15,4.4
2017-03-08,13,7.02
2017-03-08,14,6.82
2017-03-08,13,2.3
2017-03-09,,0.94
2017-03-09,15,8.16
2017-03-09,13,7.25
2017-03-09,14,7.5
2017-03-10,14,0.96
2017-03-10,15,9.28
2017-03-10,14,9.02
2017-03-10,13,7.84
2017-03-13,14,7.76
2017-03-13,15,8.1
2017-03-13,13,8.7
2017-03-14,13,2.6
2017-03-14,,1.98
2017-03-14,15,7.92
2017-03-14,13,8.2
2017-03-14,14,7.48
2017-03-15,14,5.9
2017-03-15,15,8.02
2017-03-15,13,8.1
2017-03-15,,5.68
2017-03-16,14,3.34
2017-03-16,13,7.18
2017-03-16,14,6.06
2017-03-16,15,6.78
2017-03-16,13,3.5
2017-03-17,14,3.62
2017-03-17,13,5.3
2017-03-17,13,4.7
2017-03-17,15,5.4
2017-03-17,14,5.72
2017-03-20,15,8.6
2017-03-20,14,4.18
2017-03-20,13,4.38
2017-03-20,15,2.78
2017-03-20,14,7.14
2017-03-20,13,8.64
2017-03-21,15,2.08
2017-03-21,13,7.44
2017-03-21,15,8.84
2017-03-21,14,7.94
2017-03-21,14,1.18
2017-03-21,13,6.14
2017-03-22,15,4.2
2017-03-22,14,6.16
2017-03-22,13,7.26
2017-03-23,15,0.82
2017-03-23,13,1.08
2017-03-23,13,6.8
2017-03-23,14,5.56
2017-03-23,15,7.82
2017-03-24,13,7.4
2017-03-27,13,2.7
2017-03-27,13,9.2
2017-03-27,14,10.24
2017-03-28,13,5.46
2017-03-28,14,8.18
2017-03-28,15,7.44
2017-03-28,14,2.32
2017-03-29,13,3.6
2017-03-29,14,6.5
2017-03-29,15,8.72
2017-03-29,13,7.4
2017-03-30,,0.46
2017-03-30,15,7.4
2017-03-30,13,4
2017-03-30,13,7.2
2017-03-30,15,8.52
2017-03-30,14,2.06
2017-03-31,15,2.46
2017-03-31,13,5.12
2017-03-31,15,8.2
2017-03-31,14,9.34
2017-03-31,14,3.02
2017-04-03,14,4.8
2017-04-03,13,6
2017-04-03,14,8.18
2017-04-03,13,8.1
2017-04-03,15,7
2017-04-03,15,3.8
2017-04-04,15,3.366
2017-04-04,14,2.96
2017-04-04,14,8.98
2017-04-04,15,9.86
2017-04-04,13,6.5
2017-04-04,13,10.1
2017-04-05,14,1.94
2017-04-05,15,7.48
2017-04-05,13,8.44
2017-04-05,14,7.3
2017-04-06,13,2.84
2017-04-06,15,0.88
2017-04-06,15,8.8
2017-04-06,14,7.22
2017-04-06,14,3.68
2017-04-06,13,7.65
2017-04-07,15,10.52
2017-04-07,13,8.4
2017-04-07,14,9.68
2017-04-10,15,7.88
2017-04-10,13,8
2017-04-10,14,6.76
2017-04-11,13,6
2017-04-11,15,7.12
2017-04-11,14,2.52
2017-04-11,15,3.48
2017-04-11,14,7.98
2017-04-12,14,5.5
2017-04-12,13,7.52
2017-04-12,15,3.94
2017-04-12,15,8.64
2017-04-13,15,2.72
2017-04-13,15,7.74
2017-04-13,13,3.6
2017-04-13,14,4.94
2017-04-13,13,8.58
2017-04-14,13,1.12
2017-04-14,14,3.38
2017-04-14,15,8.42
2017-04-14,14,9.7
2017-04-14,15,3.78
2017-04-17,15,1.42
2017-04-17,15,8.34
2017-04-17,13,6
2017-04-17,14,6.98
2017-04-17,14,7.24
2017-04-17,13,9.42
2017-04-18,14,5.88
2017-04-18,13,8.1
2017-04-18,15,7.1
2017-04-18,15,7.74
2017-04-18,14,8.38
2017-04-18,13,9.46
2017-04-19,13,0.74
2017-04-19,15,7.96
2017-04-19,14,7.94
2017-04-19,13,8.5
2017-04-20,13,8
2017-04-20,15,9.01
2017-04-20,13,4.48
2017-04-21,15,9.32
2017-04-21,13,7.8
2017-04-21,14,10.42
2017-04-21,15,1.2
2017-04-21,13,4.82
2017-04-24,13,6.38
2017-04-24,15,10.84
2017-04-24,14,9.5
2017-04-24,13,8.58
